variant,glom_a,glom_b,n_a,n_b,n_overlap,n_union,N,D_set,D_mag_sum,D_mag_mean,importance_sum,importance_mean,D_mag_sum_a,D_mag_sum_b,synergy
pn,DA1,DC1,35,13,2,46,500,0.05600000000000005,0.48137831687927246,0.4803392291069031,0.26868915843963626,0.26816961455345156,0.32658910751342773,0.3145747780799866,-0.05704887269476444
pn,DA1,DC2,35,8,0,43,500,0.030000000000000027,0.38743966817855835,0.3825678527355194,0.2087198340892792,0.20628392636775972,0.32658910751342773,0.12204515933990479,-0.021335979009620587
pn,DA1,DC3,35,16,0,51,500,0.040000000000000036,0.4275578260421753,0.42258259654045105,0.23377891302108766,0.23129129827022554,0.32658910751342773,0.20079976320266724,-0.03425202922065296
pn,DA1,DC4,35,22,0,57,500,0.028000000000000025,0.4129595160484314,0.4100801944732666,0.2204797580242157,0.2190400972366333,0.32658910751342773,0.16771501302719116,-0.026570708071034232
pn,DA1,DL1,35,7,1,41,500,0.028000000000000025,0.33783841133117676,0.334150105714798,0.1829192056655884,0.181075052857399,0.32658910751342773,0.0364496111869812,-0.013296261382464536
pn,DA1,DL2d,35,31,3,63,500,0.16600000000000004,0.6527136564254761,0.6473937034606934,0.40935682821273806,0.4066968517303467,0.32658910751342773,0.5894016027450562,-0.07078491042551605
pn,DA1,DL2v,35,20,2,53,500,0.11399999999999999,0.5690562725067139,0.5625804662704468,0.34152813625335693,0.3382902331352234,0.32658910751342773,0.4617558717727661,-0.06848426872812752
pn,DA1,DL3,35,15,9,41,500,0.026000000000000023,0.34510934352874756,0.34139424562454224,0.1855546717643738,0.18369712281227113,0.32658910751342773,0.05870354175567627,-0.021011368430492894
pn,DA1,DL4,35,5,2,38,500,0.03400000000000003,0.3337547779083252,0.32953888177871704,0.1838773889541626,0.18176944088935854,0.32658910751342773,0.030820488929748535,-0.01358918256215702
pn,DA1,DL5,35,7,2,40,500,0.05600000000000005,0.4349708557128906,0.4308837652206421,0.24548542785644534,0.24344188261032107,0.32658910751342773,0.32710856199264526,-0.11189672047200361
pn,DA1,DM1,35,12,2,45,500,0.03400000000000003,0.3751397132873535,0.37302497029304504,0.20456985664367677,0.20351248514652254,0.32658910751342773,0.12427210807800293,-0.03513558543806994
pn,DA1,DM2,35,10,1,44,500,0.04400000000000004,0.38307619094848633,0.38052916526794434,0.21353809547424318,0.2122645826339722,0.32658910751342773,0.12271720170974731,-0.026152016891757057
pn,DA1,DM3,35,1,0,36,500,0.028000000000000025,0.3373459577560425,0.33341559767723083,0.18267297887802125,0.18070779883861543,0.32658910751342773,0.021302461624145508,-0.003588459451862036
